Date,City,Country,co,no2,o3,pm10,pm25,so2
1/1/2020,Xining,CN,23.5,27.5,9.8,65,155,11.7
1/1/2020,Xinxiang,CN,6.4,21.1,5.7,60,112,6.6
1/1/2020,Xi’an,CN,10.9,23.8,3.7,90,170,8.2
1/1/2020,Xuchang,CN,8.2,19.2,6.5,66,161,5.1
1/1/2020,Yeosu,KR,5.6,8.4,16.8,16,42,4.3
1/1/2020,Yinchuan,CN,33.5,27,4.5,116,178,31
1/1/2020,Yokohama,JP,4.5,6.5,26.4,5,17,2.9
1/1/2020,Yunfu,CN,10,17.4,14.3,51,117,6.1
1/1/2020,Zenica,BA,16.5,20.6,8.2,100,267,75.4
1/1/2020,Zhengzhou,CN,7.8,21.1,10.2,61,132,5.1
1/1/2020,Zhuzhou,CN,9.1,22.4,2.9,81,163,7.1
1/1/2020,Ürümqi,CN,19,36.2,4.5,104,197,4.6
1/1/2020,İzmit,TR,6.4,14.6,7.3,17,53,1.6
1/1/2020,Ōita,JP,3.4,2.8,27.2,7,21,2.9
1/10/2020,Adapazarı,TR,14.9,15.3,3.3,62,124,15.8
1/10/2020,Akita,JP,3.4,10.2,13.6,7,30,1.5
1/10/2020,Albuquerque,US,1.5,4.7,27.2,10,16,1.5
1/10/2020,Amsterdam,NL,2.3,10.5,17.7,12,27,0.1
1/10/2020,Andong,KR,10,13.9,7.3,50,109,5.8
1/10/2020,Ankara,TR,16.7,41.7,3.6,28,67,3.7
1/10/2020,Antwerpen,BE,0.1,8.3,17.9,10,21,22.3
1/10/2020,Anyang,CN,26.3,33.9,4.5,149,261,8.7
1/10/2020,Ashdod,IL,56,5.8,18.1,8,27,1.2
1/10/2020,Ashkelon,IL,263.4,20.7,36.8,3,27,0.7
1/10/2020,Athens,GR,0.1,22.9,15.1,20,59,6.6
1/10/2020,Balıkesir,TR,19.8,21.6,7.4,37,70,54.4
1/10/2020,Bangkok,TH,0.1,27.1,11.9,85,164,2.2
1/10/2020,Beijing,CN,6.4,19.7,17.9,28,87,2.6
1/10/2020,Belfast,GB,0.7,19.8,9,17,42,1.4
1/10/2020,Belgrade,RS,15.3,29.4,5.9,84,177,13.2
1/10/2020,Bengaluru,IN,8.4,13.9,16.6,63,97,4.3
1/10/2020,Berlin,DE,0.1,10.6,13.5,11,22,1.7
1/10/2020,Bhopal,IN,6,10.5,10.8,71,117,4.3
1/10/2020,Bilbao,ES,0.1,7.4,23.6,15,30,2.6
1/10/2020,Bogotá,CO,4.6,5.8,8,28,53,0.5
1/10/2020,Brescia,IT,0.1,37.5,3.7,60,152,2.1
1/10/2020,Brisbane,AU,1.9,2.3,7.8,24,58,1.1
1/10/2020,Bristol,GB,2.3,15.3,17.9,13,30,5.7
1/10/2020,Brussels,BE,0.1,7.8,17.9,10,21,1.1
1/10/2020,Budapest,HU,7,14.9,4.1,50,140,3.5
1/10/2020,Buenos Aires,AR,4.8,11,11,25,55,2.1
1/10/2020,Burgos,ES,0.1,6.9,24,12,17,3.1
1/10/2020,Bursa,TR,23.2,29.8,6.4,52,93,7.9
1/10/2020,Busan,KR,5.6,26,14.5,34,82,5.8
1/10/2020,Bydgoszcz,PL,3.5,8,7,19,55,1.4
1/10/2020,Calama,CL,1.7,4.9,19,36,21,1.1
