,,,median,median,median,median,median,median
Specie,,,co,no2,o3,pm10,pm25,so2
Date,City,Country,,,,,,
1/1/2019,Nara-shi,JP,3.4,4.7,21.6,10.0,34.0,2.9
1/1/2019,Nashik,IN,12.6,23.5,8.6,72.0,160.0,2.6
1/1/2019,Newport,GB,1.4,4.8,24.8,11.0,25.0,0.6
1/1/2019,Nicosia,CY,3.2,8.4,19.7,11.0,29.0,1.5
1/1/2019,Niigata,JP,2.3,3.8,26.4,3.0,13.0,1.5
1/1/2019,Ningbo,CN,8.2,17.9,11.4,54.0,127.0,4.6
1/1/2019,Okayama,JP,3.4,7.5,17.6,10.0,42.0,5.8
1/1/2019,Osaka,JP,4.5,9.3,19.2,10.0,38.0,2.9
1/1/2019,Oviedo,ES,0.1,8.7,8.1,27.0,76.0,3.1
1/1/2019,Pachuca de Soto,MX,7.7,10.1,19.8,39.0,39.0,3.3
1/1/2019,Paris,FR,0.1,13.7,11.7,18.0,52.0,0.9
1/1/2019,Petaẖ Tiqwa,IL,4.5,25.4,4.8,18.0,61.0,1.6
1/1/2019,Phoenix,US,3.4,7.5,15.1,12.0,38.0,0.6
1/1/2019,Pohang,KR,4.5,10.2,22.4,25.0,59.0,4.3
1/1/2019,Port Elizabeth,ZA,0.6,1.0,0.9,35.0,50.0,9.2
1/1/2019,Potsdam,DE,0.1,3.7,24.4,15.0,53.0,0.6
1/1/2019,Płock,PL,9.0,2.3,15.0,11.0,37.0,1.1
1/1/2019,Qingdao,CN,0.1,22.0,12.6,81.0,159.0,11.7
1/1/2019,Qinhuangdao,CN,13.8,27.0,5.3,66.0,151.0,18.8
1/1/2019,Qiqihar,CN,4.6,3.7,27.3,36.0,55.0,3.6
1/1/2019,Rayong,TH,0.1,5.2,15.0,21.0,50.0,1.1
1/1/2019,Rijeka,HR,0.1,2.3,24.4,6.0,46.0,3.8
1/1/2019,Rome,IT,0.1,11.9,13.0,28.0,76.0,0.4
1/1/2019,Saitama,JP,3.4,7.5,20.0,7.0,30.0,1.5
1/1/2019,Samsun,TR,4.0,17.0,18.7,50.0,30.0,14.2
1/1/2019,Samut Prakan,TH,0.1,5.8,15.0,31.0,70.0,3.2
1/1/2019,San Jose,US,3.6,9.3,24.8,5.0,21.0,1.5
1/1/2019,Sanandaj,IR,0.0,0.0,0.0,0.0,0.0,0.0
1/1/2019,Santiago,CL,7.0,9.3,21.6,47.0,73.0,1.8
1/1/2019,Sapporo,JP,3.4,10.2,24.1,9.0,25.0,2.9
1/1/2019,Sarajevo,BA,4.2,7.4,22.4,28.0,74.0,11.2
1/1/2019,Sejong,KR,7.8,18.6,16.0,41.0,89.0,5.8
1/1/2019,Sendai,JP,0.1,3.8,27.2,3.0,9.0,2.9
1/1/2019,Seongnam-si,KR,7.8,29.7,13.6,40.0,87.0,4.3
1/1/2019,Seoul,KR,6.7,27.8,13.6,35.0,80.0,5.8
1/1/2019,Shanghai,CN,4.6,12.4,23.2,31.0,85.0,3.1
1/1/2019,Shantou,CN,6.4,8.7,15.1,28.0,68.0,5.1
1/1/2019,Shenyang,CN,12.7,25.2,5.7,73.0,161.0,15.2
1/1/2019,Shenzhen,CN,6.9,12.4,8.2,38.0,85.0,4.1
1/1/2019,Shijiazhuang,CN,17.4,33.4,4.1,121.0,188.0,25.4
1/1/2019,Shizuoka,JP,2.3,2.8,24.1,5.0,17.0,1.5
1/1/2019,Skopje,MK,0.1,5.2,8.2,23.0,51.0,1.8
1/1/2019,Strasbourg,FR,0.1,11.5,14.3,22.0,63.0,2.6
1/1/2019,Suncheon,KR,4.5,6.5,24.8,20.0,50.0,4.3
1/1/2019,Surrey,CA,0.1,5.4,2.5,11.0,25.0,0.2
1/1/2019,Suwon,KR,5.6,19.5,16.8,37.0,82.0,4.3
1/1/2019,Suzhou,CN,8.2,17.0,18.7,51.0,117.0,4.1
1/1/2019,Sydney,AU,2.3,3.8,34.4,25.0,56.0,1.5
1/1/2019,Szczecin,PL,0.1,1.6,22.4,14.0,38.0,2.7
1/1/2019,Szeged,HU,2.7,5.5,9.8,16.0,52.0,4.1
1/1/2019,São José dos Campos,BR,1.0,3.2,21.2,13.0,46.0,1.1
1/1/2019,São Paulo,BR,2.8,6.0,21.2,23.0,65.0,1.1
1/1/2019,Tabriz,IR,0.0,0.0,0.0,0.0,0.0,0.0
1/1/2019,Taichung,TW,3.3,8.4,21.6,17.0,34.0,2.9
1/1/2019,Tainan,TW,3.8,12.1,15.2,36.0,57.0,4.3
1/1/2019,Taipei,TW,3.0,8.4,27.2,10.0,21.0,2.9
1/1/2019,Taitung City,TW,2.6,1.9,21.6,13.0,25.0,1.5
1/1/2019,Taiyuan,CN,16.6,31.6,4.1,104.0,173.0,24.9
1/1/2019,Takamatsu,JP,3.4,3.8,25.6,8.0,25.0,2.9
1/1/2019,Talca,CL,3.7,2.5,9.7,20.0,25.0,1.4
1/1/2019,Taoyuan City,TW,3.4,6.5,29.6,10.0,25.0,4.3
1/1/2019,Tarnów,PL,4.4,5.4,22.0,15.0,55.0,3.0
1/1/2019,Tehran,IR,0.0,0.0,0.0,0.0,0.0,0.0
1/1/2019,Tel Aviv,IL,8.9,24.7,2.8,18.0,69.0,1.6
1/1/2019,Tepic,MX,16.2,10.6,3.8,50.0,59.0,9.2
1/1/2019,Thiruvananthapuram,IN,65.7,2.4,31.6,62.0,130.0,6.0
1/1/2019,Tokyo,JP,3.4,13.9,16.8,10.0,38.0,1.5
1/1/2019,Toyama,JP,4.5,3.8,23.3,5.0,13.0,1.5
1/1/2019,Trabzon,TR,7.5,19.2,11.4,29.0,63.0,5.1
1/1/2019,Tucson,US,1.9,3.6,24.8,4.0,13.0,0.2
1/1/2019,Ulan Bator,MN,18.7,26.6,2.0,96.0,182.0,31.8
1/1/2019,Ulsan,KR,5.6,12.1,21.6,23.0,59.0,4.3
1/1/2019,Utrecht,NL,1.1,4.8,22.0,20.0,35.0,0.2
1/1/2019,Utsunomiya,JP,3.4,7.5,13.6,8.0,30.0,1.5
1/1/2019,Vancouver,CA,0.1,4.7,4.1,7.0,20.0,0.2
1/1/2019,Vereeniging,ZA,5.1,3.2,9.4,28.0,65.0,3.1
1/1/2019,Visakhapatnam,IN,11.4,52.2,17.2,101.0,172.0,13.2
1/1/2019,Warsaw,PL,6.5,4.3,18.9,13.0,53.0,5.1
1/1/2019,Wollongong,AU,1.2,1.9,40.0,27.0,51.0,2.9
1/1/2019,Wrocław,PL,4.1,4.6,20.6,11.0,38.0,1.7
1/1/2019,Wuhan,CN,7.5,18.3,9.0,38.0,112.0,3.6
1/1/2019,Wuxi,CN,6.4,10.6,19.1,50.0,102.0,5.6
1/1/2019,Xiamen,CN,4.7,4.6,25.6,11.0,30.0,1.6
1/1/2019,Xining,CN,28.1,28.4,10.2,88.0,172.0,13.2
1/1/2019,Xinxiang,CN,18.6,37.1,3.3,122.0,193.0,19.3
1/1/2019,Xi’an,CN,16.3,28.8,4.1,120.0,205.0,9.7
1/1/2019,Xuchang,CN,12.7,24.7,6.5,102.0,210.0,9.2
1/1/2019,Yeosu,KR,5.6,7.5,23.3,18.0,50.0,4.3
1/1/2019,Yinchuan,CN,16.3,20.6,8.2,75.0,151.0,19.3
1/1/2019,Yokohama,JP,4.5,11.2,19.2,8.0,30.0,2.9
1/1/2019,Yunfu,CN,7.7,11.5,5.3,35.0,95.0,8.2
1/1/2019,Zhengzhou,CN,12.7,35.7,6.1,104.0,182.0,11.7
1/1/2019,Zhuzhou,CN,5.5,11.9,10.6,42.0,117.0,4.1
1/1/2019,Ürümqi,CN,25.3,33.9,6.5,147.0,227.0,5.6
1/1/2019,İzmit,TR,17.3,16.0,7.0,47.0,97.0,11.2
1/1/2019,Łódź,PL,3.8,2.9,18.4,15.0,53.0,2.1
1/1/2019,Ōita,JP,5.6,2.8,24.8,7.0,25.0,2.9
1/10/2019,Adapazarı,TR,9.5,9.2,26.4,34.0,50.0,20.8
1/10/2019,Aguascalientes,MX,7.1,8.8,395.0,21.0,1.0,4.0
1/10/2019,Akita,JP,2.3,4.7,30.4,7.0,34.0,1.5
1/10/2019,Albuquerque,US,2.4,23.2,12.8,36.0,52.0,1.5
1/10/2019,Amsterdam,NL,3.3,23.9,7.8,14.0,28.0,0.2
1/10/2019,Andong,KR,8.9,26.9,4.8,54.0,87.0,15.8
1/10/2019,Ankara,TR,10.4,38.0,4.1,49.0,78.0,8.7
1/10/2019,Antwerpen,BE,0.1,24.3,7.4,17.0,34.0,1.1
1/10/2019,Anyang,CN,14.2,27.9,5.3,102.0,183.0,9.7
1/10/2019,Arāk,IR,0.0,0.0,0.0,0.0,0.0,0.0
1/10/2019,Atlanta,US,2.3,9.3,16.8,12.0,30.0,0.5
1/10/2019,Bangkok,TH,0.1,17.3,4.0,57.0,114.0,1.1
1/10/2019,Beijing,CN,14.5,38.4,2.1,87.0,168.0,8.7
1/10/2019,Belfast,GB,0.4,20.2,11.4,19.0,63.0,5.1
1/10/2019,Belgrade,RS,7.8,12.5,11.7,36.0,110.0,3.7
1/10/2019,Bengaluru,IN,6.8,21.6,16.8,75.0,154.0,2.6
1/10/2019,Berlin,DE,0.1,9.7,22.7,6.0,12.0,0.2
1/10/2019,Bhopal,IN,9.1,13.8,9.4,134.0,179.0,10.4
1/10/2019,Bilbao,ES,0.1,7.4,25.6,12.0,21.0,3.1
1/10/2019,Bogotá,CO,4.6,6.4,4.3,28.0,49.0,0.6
1/10/2019,Brescia,IT,0.1,30.7,9.0,18.0,50.0,3.1
1/10/2019,Brisbane,AU,0.1,0.1,0.1,17.0,28.0,0.1
1/10/2019,Bristol,GB,3.2,24.3,1.2,21.0,61.0,1.6
1/10/2019,Brussels,BE,0.1,24.3,9.0,15.0,30.0,1.1
1/10/2019,Budapest,HU,11.4,16.2,6.1,44.0,94.0,2.8
1/10/2019,Bursa,TR,26.6,6.0,32.1,39.0,30.0,5.1
1/10/2019,Busan,KR,4.5,15.8,19.2,28.0,57.0,5.8
1/10/2019,Bydgoszcz,PL,4.8,7.6,12.9,38.0,97.0,2.2
1/10/2019,Calama,CL,3.4,3.2,10.6,33.0,27.0,0.4
1/10/2019,Cardiff,GB,3.2,22.4,2.9,17.0,50.0,1.6
1/10/2019,Changchun,CN,11.0,22.0,22.0,59.0,139.0,11.2
1/10/2019,Changsha,CN,10.0,14.7,4.1,16.0,53.0,3.1
1/10/2019,Changwon,KR,4.5,23.2,14.5,31.0,59.0,5.8
1/10/2019,Changzhou,CN,9.1,21.1,2.5,50.0,117.0,5.6
1/10/2019,Chengdu,CN,10.2,18.3,5.7,69.0,160.0,3.1
