date, pm25
2018/4/6, 124
2018/4/7, 147
2018/4/8, 135
2018/4/9, 143
2018/4/10, 143
2018/4/11, 138
2018/4/12, 129
2018/4/13, 111
2018/4/14, 108
2018/4/15, 113
2018/4/17, 79
2018/4/19, 94
2018/4/20, 132
2018/4/21, 103
2018/4/22, 88
2018/4/23, 112
2018/4/24, 123
2018/4/25, 128
2018/4/26, 121
2018/4/27, 79
2018/4/28, 100
2018/4/29, 75
2018/4/30, 98
2018/5/1, 122
2018/5/2, 118
2018/5/3, 90
2018/5/4, 89
2018/5/5, 82
2018/5/6, 103
2018/5/7, 92
2018/5/8, 87
2018/5/9, 83
2018/5/10, 89
2018/5/11, 95
2018/5/12, 100
2018/5/13, 122
2018/5/14, 103
2018/5/15, 75
2018/5/16, 69
2018/5/17, 73
2018/5/18, 97
2018/5/19, 101
2018/5/20, 113
2018/5/21, 113
2018/5/22, 99
2018/5/23, 110
2018/5/24, 91
2018/5/25, 97
2018/5/26, 90
2018/5/27, 79
2018/5/28, 92
2018/5/29, 83
2018/5/30, 83
2018/5/31, 91
2018/6/1, 108
2018/6/2, 109
2018/6/3, 104
2018/6/6, 78
2018/6/7, 80
2018/6/9, 87
2018/6/10, 81
2018/6/11, 111
2018/6/12, 113
2018/6/13, 117
2018/6/14, 106
2018/6/15, 104
2018/6/16, 106
2018/6/19, 34
2018/6/20, 69
2018/6/21, 137
2018/6/22, 115
2018/6/23, 116
2018/6/24, 95
2018/6/25, 72
2018/6/26, 85
2018/6/27, 124
2018/6/28, 117
2018/6/29, 108
2018/6/30, 165
2018/7/1, 126
2018/1/2, 218
2018/1/3, 204
2018/1/4, 250
2018/1/5, 270
2018/1/6, 211
2018/1/7, 183
2018/1/8, 152
2018/1/9, 177
2018/1/10, 223
2018/1/11, 220
2018/1/12, 188
2018/1/13, 201
2018/1/14, 180
2018/1/15, 209
2018/1/16, 202
2018/1/17, 170
2018/1/18, 177
2018/1/19, 169
2018/1/20, 97
2018/1/21, 159
2018/1/22, 178
2018/1/23, 188
2018/1/24, 191
2018/1/25, 153
2018/1/26, 179
2018/1/27, 182
2018/1/28, 164
2018/1/29, 150
2018/1/30, 182
2018/1/31, 202
2018/2/1, 175
2018/2/2, 203
2018/2/3, 211
2018/2/4, 198
2018/2/5, 186
2018/2/6, 193
2018/2/7, 239
2018/2/8, 211
2018/2/9, 282
2018/2/10, 155
2018/2/11, 132
2018/2/12, 99
2018/2/13, 109
2018/2/14, 160
2018/2/15, 174
2018/2/16, 150
2018/2/17, 167
2018/2/18, 160
2018/2/19, 162
2018/2/20, 180
2018/2/21, 208
2018/2/22, 182
2018/2/23, 202
2018/2/24, 208
2018/2/25, 193
2018/2/26, 179
2018/2/27, 191
2018/2/28, 196
2018/3/1, 221
2018/3/2, 225
2018/3/3, 327
2018/3/4, 206
2018/3/5, 167
2018/3/6, 166
2018/3/7, 162
2018/3/8, 127
2018/3/9, 135
2018/3/10, 133
2018/3/11, 134
2018/3/12, 146
2018/3/13, 162
2018/3/14, 138
2018/3/15, 108
2018/3/16, 123
2018/3/17, 166
2018/3/18, 151
2018/3/19, 147
2018/3/20, 107
2018/3/21, 132
2018/3/22, 122
2018/3/23, 119
2018/3/24, 143
2018/3/25, 152
2018/3/26, 181
2018/3/27, 170
2018/3/28, 155
2018/3/29, 142
2018/3/30, 123
2018/3/31, 114
2018/4/1, 100
2017/10/2, 151
2017/10/3, 136
2017/10/4, 153
2017/10/5, 153
2017/10/6, 173
2017/10/7, 171
2017/10/8, 171
2017/10/9, 101
2017/10/10, 121
2017/10/11, 141
2017/10/12, 113
2017/10/13, 74
2017/10/14, 140
2017/10/15, 156
2017/10/16, 151
2017/10/17, 167
2017/10/18, 167
2017/10/19, 198
2017/10/20, 238
2017/10/21, 301
2017/10/22, 169
2017/10/23, 151
2017/10/24, 161
2017/10/25, 150
2017/10/26, 148
2017/10/27, 150
2017/10/28, 174
2017/10/29, 175
2017/10/30, 165
2017/10/31, 172
2017/12/21, 151
2017/12/22, 169
2017/12/23, 185
2017/12/24, 176
2017/12/25, 210
2017/12/26, 252
2017/12/27, 192
2017/12/28, 180
2017/12/29, 187
2017/12/30, 216
2017/12/31, 223
2018/1/1, 182
2017/7/2, 61
2017/7/3, 90
2017/7/4, 92
2017/7/5, 66
2017/7/6, 64
2017/7/7, 58
2017/7/8, 62
2017/7/9, 63
2017/7/10, 41
2017/7/11, 53
2017/7/12, 56
2017/7/13, 46
2017/7/14, 62
2017/7/15, 76
2017/7/16, 59
2017/7/18, 34
2017/7/19, 41
2017/7/20, 27
2017/7/21, 62
2017/7/22, 42
2017/7/23, 52
2017/7/24, 49
2017/7/25, 55
2017/7/26, 63
2017/7/27, 44
2017/7/28, 44
2017/7/29, 50
2017/7/30, 50
2017/7/31, 33
2017/8/1, 60
2017/8/2, 31
2017/8/3, 37
2017/8/4, 41
2017/8/5, 65
2017/8/6, 56
2017/8/7, 55
2017/8/8, 62
2017/8/9, 58
2017/8/10, 62
2017/8/11, 95
2017/8/12, 69
2017/8/13, 36
2017/8/14, 37
2017/8/15, 34
2017/8/16, 52
2017/8/17, 55
2017/8/18, 49
2017/8/19, 59
2017/8/20, 71
2017/8/21, 108
2017/8/22, 92
2017/8/23, 62
2017/8/24, 61
2017/8/25, 49
2017/8/26, 46
2017/8/27, 54
2017/8/28, 45
2017/8/29, 43
2017/8/30, 27
2017/9/2, 82
2017/9/3, 97
2017/9/4, 69
2017/9/5, 111
2017/9/6, 103
2017/9/7, 132
2017/9/12, 162
2017/9/13, 139
2017/9/14, 98
2017/9/15, 98
2017/9/16, 101
2017/9/17, 93
2017/9/18, 92
2017/9/19, 65
2017/9/20, 89
2017/9/21, 95
2017/9/22, 135
2017/9/23, 100
2017/9/24, 93
2017/9/25, 107
2017/9/26, 89
2017/9/27, 99
2017/9/28, 92
2017/9/29, 15
2017/9/30, 13
2017/10/1, 101
2017/4/2, 100
2017/4/3, 97
2017/4/4, 96
2017/4/5, 83
2017/4/6, 85
2017/4/7, 84
2017/4/8, 129
2017/4/9, 154
2017/4/10, 169
2017/4/11, 170
2017/4/12, 151
2017/4/13, 147
2017/4/14, 166
2017/4/15, 131
2017/4/16, 105
2017/4/17, 105
2017/4/18, 82
2017/4/19, 107
2017/4/20, 77
