date, pm25, pm10, o3, no2, so2, co
2020/1/16, 13, 6, 11, 6, , 
2020/1/17, 30, 12, 11, 10, , 
2020/1/18, 22, 8, 8, 10, , 
2020/1/19, 15, 7, 13, 5, , 
2020/1/20, 20, 7, 6, 9, , 
2020/1/21, 26, 6, 5, 10, , 
2020/1/22, 16, 6, 14, 3, , 
2020/1/23, 14, 6, 10, 7, , 
2020/1/24, 23, 7, 10, 7, , 
2020/1/25, 16, 8, 12, 5, , 
2020/1/26, 16, 6, 9, 6, , 
2020/1/27, 17, 7, 14, 2, , 
2020/1/28, 12, 7, 14, 4, , 
2020/1/29, 9, 5, 10, 7, , 
2020/1/30, 17, 12, 12, 5, , 
2020/1/31, 19, 10, 7, 7, , 
2020/2/1, 21, 6, 12, 6, , 
2019/10/2, 28, 14, 5, 7, , 
2019/10/3, 38, 7, 11, 3, , 
2019/10/4, 26, 8, 8, 6, , 
2019/10/5, 21, 9, 7, 6, , 
2019/10/6, 21, 9, 5, 6, , 
2019/10/7, 34, 8, 11, 5, , 
2019/10/8, 19, 5, 12, 4, , 
2019/10/9, 8, 8, 10, 7, , 
2019/10/10, 17, 12, 7, 8, , 
2019/10/11, 33, 16, 5, 10, , 
2019/10/12, 38, 13, 9, 6, , 
2019/10/13, 37, 7, 11, 4, , 
2019/10/14, 22, 11, 7, 6, , 
2019/10/15, 43, 11, 10, 6, , 
2019/10/16, 34, 8, 12, 5, , 
2019/10/17, 25, 8, 11, 3, , 
2019/10/18, 17, 8, 11, 2, , 
2019/10/19, 10, 6, 11, 3, , 
2019/10/20, 12, 9, 2, 6, , 
2019/10/21, 16, 6, 7, 7, , 
2019/10/22, 25, 8, 10, 5, , 
2019/10/23, 15, 12, 4, 6, , 
2019/10/24, 19, 15, 2, 7, , 
2019/10/25, 41, 10, 14, 4, , 
2019/10/26, 18, 9, 8, 6, , 
2019/10/27, 13, 9, 8, 7, , 
2019/10/28, 25, 12, 5, 7, , 
2019/10/29, 23, 10, 14, 6, , 
2019/10/30, 8, 22, 10, 10, , 
2019/10/31, 35, 22, 4, 10, , 
2019/11/1, 83, 23, 4, 9, , 
2019/11/2, 63, 15, 3, 7, , 
2019/11/3, 45, 14, 2, 7, , 
2019/11/4, 60, 18, 1, 8, , 
2019/11/5, 74, 15, 1, 8, , 
2019/11/6, 62, 11, 4, 6, , 
2019/11/7, 21, , , , , 
2019/11/9, 51, 10, 4, 6, , 
2019/11/10, 47, 6, 4, 6, , 
2019/11/11, 23, 9, 2, 7, , 
2019/11/12, 21, 10, 2, 8, , 
2019/11/13, 35, 10, 1, 7, , 
2019/11/14, 29, 17, , 7, , 
2019/11/15, 34, 14, 3, 8, , 
2019/11/17, 27, 9, 11, 4, , 
2019/11/18, 25, 9, 4, 9, , 
2019/11/19, 16, 7, 7, 5, , 
2019/11/20, 11, 11, 6, 10, , 
2019/11/21, 30, 19, 1, 11, , 
2019/11/22, 46, 17, 2, 9, , 
2019/11/23, 61, 10, 7, 5, , 
2019/11/24, 40, 11, 14, 5, , 
2019/11/25, 19, 7, 11, 7, , 
2019/11/26, 18, 5, 8, 8, , 
2019/11/27, 20, 20, 14, 4, , 
2019/11/28, 4, 20, 8, 11, , 
2019/11/29, 21, 22, 6, 13, , 
2019/11/30, 41, 20, 4, 13, , 
2019/12/1, 59, 20, 1, 13, , 
2019/12/2, 53, 9, 1, 12, , 
2019/12/3, 45, 10, 1, 10, , 
2019/12/4, 33, 7, 11, 6, , 
2019/12/5, 17, 12, 2, 10, , 
2019/12/6, 36, 12, , 9, , 
2019/12/7, 45, 7, 6, 7, , 
2019/12/8, 29, 8, 3, 5, , 
2019/12/9, 23, 11, 1, 6, , 
2019/12/10, 30, 9, , 7, , 
2019/12/11, 27, 6, 6, 7, , 
2019/12/12, 22, 8, 11, 9, , 
2019/12/13, 20, 7, 7, 11, , 
2019/12/14, 20, 4, 7, 6, , 
2019/12/15, 23, 6, 3, 6, , 
2019/12/16, 21, 4, 5, 8, , 
2019/12/17, 13, 7, 4, 11, , 
2019/12/18, 21, 6, 10, 7, , 
2019/12/19, 22, 6, 11, 6, , 
2019/12/20, 19, 6, 10, 9, , 
2019/12/21, 22, 4, 10, 6, , 
2019/12/22, 23, 4, 6, 7, , 
2019/12/23, 9, 8, 2, 9, , 
2019/12/24, 22, 4, 11, 6, , 
2019/12/25, 17, 6, 6, 7, , 
2019/12/26, 26, 5, 8, 6, , 
2019/12/27, 10, 9, 7, 7, , 
2019/12/28, 22, 5, 8, 6, , 
2019/12/29, 19, 6, 8, 7, , 
2019/7/2, 21, 7, 9, 2, , 
2019/7/3, 15, 7, 10, 2, , 
2019/7/4, 12, 9, 12, 2, , 
2019/7/5, 12, 10, 7, 3, , 
2019/7/6, 21, 7, 8, 4, , 
2019/7/7, 9, 7, 9, 2, , 
2019/7/8, 16, 10, 12, 5, , 
2019/7/9, 14, 14, 14, 6, , 
2019/7/10, 26, 8, 8, 3, , 
2019/7/11, 25, 6, 10, 2, , 
2019/7/12, 8, 11, 10, 5, , 
2019/7/13, 15, 10, 10, 4, , 
2019/7/14, 19, 9, 12, 2, , 
2019/7/15, 14, 10, 13, 3, , 
2019/7/16, 17, 9, 13, 3, , 
2019/7/17, 17, 6, 9, 2, , 
2019/7/18, 19, 7, 11, 1, , 
2019/7/19, 14, 6, 10, 2, , 
2019/7/20, 11, 10, 8, 4, , 
2019/7/21, 19, 16, 14, 8, , 
2019/7/22, 34, 11, 13, 2, , 
2019/7/23, 20, 9, 11, 2, , 
2019/7/24, 21, 8, 13, 2, , 
2019/7/25, 9, 12, 13, 4, , 
2019/7/26, 24, 12, 13, 3, , 
2019/7/27, 29, 7, 11, 2, , 
2019/7/28, 10, 8, 9, 3, , 
2019/7/29, 17, 10, 11, 4, , 
2019/7/30, 21, 9, 13, 2, , 
2019/7/31, 10, 12, 12, 5, , 
2019/8/1, 22, 12, 10, 5, , 
2019/8/2, 19, 8, 14, 2, , 
2019/8/3, 26, 13, 11, 3, , 
2019/8/4, 29, 12, 9, 5, , 
2019/8/5, 33, 14, 15, 7, , 
2019/8/6, 28, 14, 12, 5, , 
2019/8/7, 30, 11, 13, 3, , 
2019/8/8, 18, 7, 12, 2, , 
2019/8/9, 10, 7, 12, 4, , 
2019/8/10, 10, 8, 9, 3, , 
2019/8/11, 22, 6, 9, 2, , 
2019/8/12, 12, 7, 10, 5, , 
2019/8/13, 10, 10, 11, 5, , 
2019/8/14, 16, 12, 8, 7, , 
2019/8/15, 25, 9, 11, 3, , 
2019/8/16, 16, 10, 12, 2, , 
2019/8/17, 20, 13, 10, 4, , 
2019/8/18, 27, 8, 11, 2, , 
2019/8/19, 8, 11, 14, 3, , 
2019/8/20, 33, 19, 10, 7, , 
2019/8/21, 23, 9, 10, 2, , 
2019/8/23, 10, 15, 6, 7, , 
2019/8/24, 37, 13, 12, 5, , 
