date, pm25, pm10, o3, no2, so2, co
2019/9/15, 58, 31, , , , 
2019/9/16, 65, 23, , , , 
2019/9/17, 44, 24, , , , 
2019/9/18, 47, 25, , , , 
2019/9/19, 47, 24, , , , 
2019/9/20, 42, 26, , , , 
2019/9/21, 53, 17, , , , 
2019/9/22, 42, 13, , , , 
2019/9/23, 26, 19, , , , 
2019/9/24, 43, 21, , , , 
2019/9/25, 41, 19, , , , 
2019/9/26, 31, 17, , , , 
2019/9/27, 32, 17, , , , 
2019/9/28, 34, 17, , , , 
2019/9/29, 34, 23, , , , 
2019/9/30, 50, 22, , , , 
2019/10/1, 39, 18, , , , 
2019/4/2, 35, 21, , , , 
2019/4/3, 32, 11, , , , 
2019/4/4, 25, 13, , , , 
2019/4/5, 27, 15, , , , 
2019/4/6, 25, 13, , , , 
2019/4/7, 23, 10, , , , 
2019/4/8, 27, 11, , , , 
2019/4/9, 28, 14, , , , 
2019/4/10, 29, 20, , , , 
2019/4/11, 33, 25, , , , 
2019/4/12, 36, 15, , , , 
2019/4/13, 22, 13, , , , 
2019/4/14, 21, 9, , , , 
2019/4/15, 20, 9, , , , 
2019/4/16, 21, 13, , , , 
2019/4/17, 24, 17, , , , 
2019/4/18, 27, 15, , , , 
2019/4/19, 26, 11, , , , 
2019/4/20, 24, 10, , , , 
2019/4/21, 20, 10, , , , 
2019/4/22, 21, 11, , , , 
2019/4/23, 22, 10, , , , 
2019/4/24, 21, 14, , , , 
2019/4/25, 25, 12, , , , 
2019/4/26, 23, 12, , , , 
2019/4/27, 28, 16, , , , 
2019/4/28, 33, 23, , , , 
2019/4/29, 40, 26, , , , 
2019/4/30, 41, 30, , , , 
2019/5/1, 37, 16, , , , 
2019/5/2, 30, 17, , , , 
2019/5/3, 32, 14, , , , 
2019/5/4, 33, 12, , , , 
2019/5/5, 29, 11, , , , 
2019/5/6, 29, 10, , , , 
2019/5/7, 31, 15, , , , 
2019/5/8, 42, 19, , , , 
2019/5/9, 48, 19, , , , 
2019/5/10, 47, 20, , , , 
2019/5/11, 45, 18, , , , 
2019/5/12, 30, 11, , , , 
2019/5/13, 21, 17, , , , 
2019/5/14, 34, 21, , , , 
2019/5/15, 30, 18, , , , 
2019/5/16, 28, 21, , , , 
2019/5/17, 30, 18, , , , 
2019/5/18, 28, 7, , , , 
2019/5/19, 24, , , , , 
2019/5/21, 26, 16, , , , 
2019/5/22, 29, 20, , , , 
2019/5/23, 42, 23, , , , 
2019/5/24, 37, 25, , , , 
2019/5/25, 39, 20, , , , 
2019/5/26, 41, 14, , , , 
2019/5/27, 43, 15, , , , 
2019/5/28, 41, 18, , , , 
2019/5/29, 30, 17, , , , 
2019/5/30, 28, 18, , , , 
2019/5/31, 34, 14, , , , 
2019/6/1, 28, 20, , , , 
2019/6/2, 52, 18, , , , 
2019/6/3, 51, 11, , , , 
2019/6/4, 33, 10, , , , 
2019/6/5, 24, 10, , , , 
2019/6/6, 25, 15, , , , 
2019/6/7, 36, 17, , , , 
2019/6/8, 38, 17, , , , 
2019/6/9, 40, 15, , , , 
2019/6/10, 48, 16, , , , 
2019/6/11, 47, 15, , , , 
2019/6/12, 39, 13, , , , 
2019/6/13, 26, 16, , , , 
2019/6/14, 34, 16, , , , 
2019/6/15, 34, 20, , , , 
2019/6/16, 45, 18, , , , 
2019/6/17, 49, 12, , , , 
2019/6/18, 28, 10, , , , 
2019/6/19, 17, 14, , , , 
2019/6/20, 31, 14, , , , 
2019/6/21, 27, 16, , , , 
2019/6/22, 28, 11, , , , 
2019/6/23, 19, 12, , , , 
2019/6/24, 31, 11, , , , 
2019/6/25, 23, 8, , , , 
2019/6/26, 14, 8, , , , 
2019/6/27, 16, 9, , , , 
