date, pm25, pm10, o3, no2, so2, co
2019/10/31, 41, 13, 14, 12, , 
2019/11/1, 40, 23, 16, 11, 2, 
2019/11/2, 72, 16, 6, 5, 2, 
2019/11/3, 60, 9, 19, 4, 2, 
2019/11/4, 22, 12, 14, 8, 2, 
2019/11/5, 47, 8, 13, 7, 2, 
2019/11/6, 29, 8, 14, 4, 2, 
2019/11/7, 30, 12, 8, 7, 2, 
2019/11/8, 32, 13, 11, 7, 2, 
2019/11/9, 44, 17, 15, 5, 2, 
2019/11/10, 58, 20, 12, 5, , 
2019/11/11, 56, 19, 10, 9, 2, 
2019/11/12, 60, 17, 11, 7, 2, 
2019/11/13, 59, 17, 9, 9, 2, 
2019/11/14, 56, 18, 13, 8, 3, 
2019/11/15, 53, 23, 15, 6, 3, 
2019/11/16, 68, 24, 6, 9, 2, 
2019/11/17, 77, 20, 8, 6, , 
2019/11/18, 66, 21, 6, 9, 3, 
2019/11/19, 69, 11, 17, 7, , 
2019/11/20, 39, 11, 15, 6, , 
2019/11/21, 39, 34, 3, 8, , 
2019/11/23, 66, 30, 8, 6, 1, 
2019/11/24, 90, 33, 8, 4, 1, 
2019/11/25, 97, 40, 2, 8, 1, 
2019/11/26, 108, 24, 3, 10, , 
2019/11/27, 72, 11, 8, 9, 1, 
2019/11/28, 44, 4, 21, 4, , 
2019/11/29, 14, 4, 25, 2, , 
2019/11/30, 14, 9, 17, 6, , 
2019/12/1, 36, 23, 8, 7, , 
2019/12/2, 67, 11, 20, 4, , 
2019/12/3, 43, 12, 15, 9, , 
2019/12/4, 45, 16, 13, 10, 1, 
2019/12/5, 59, 21, 5, 12, , 
2019/12/6, 70, 18, 16, 9, , 
2019/12/7, 62, 4, 23, 4, , 
2019/12/8, 18, 4, 23, 3, , 
2019/12/9, 17, 4, 24, 4, , 
2019/12/10, 15, 8, 23, 5, , 
2019/12/11, 28, 9, 19, 8, 1, 
2019/12/12, 30, 12, 13, 9, , 
2019/12/13, 49, 18, 10, 10, 1, 
2019/12/14, 64, 7, 25, 6, , 
2019/12/15, 28, 4, 28, 3, , 
2019/12/16, 13, 6, 20, 11, , 
2019/12/17, 22, 11, 11, 10, 1, 
2019/12/18, 38, 8, 25, 9, , 
2019/12/19, 22, 19, 4, 12, 1, 
2019/12/20, 62, 20, 11, 9, , 
2019/12/21, 66, 11, 16, 8, , 
2019/12/22, 38, 15, 8, 7, , 
2019/12/23, 58, 10, 20, 5, , 
2019/12/24, 38, 8, 19, 4, , 
2019/12/25, 30, 8, 17, 2, , 
2019/12/26, 31, 6, 19, 2, , 
2019/12/27, 26, 7, 15, 3, , 
2019/12/28, 26, 9, 22, 4, , 
2019/12/29, 31, 11, 15, 6, , 
2019/12/30, 44, , , , , 
2019/7/2, 36, 19, 31, 1, , 
2019/7/3, 35, 14, 31, 2, , 
2019/7/4, 24, 12, 30, 2, , 
2019/7/5, 23, 10, 26, 1, , 
2019/7/6, 21, 9, 31, 2, , 
2019/7/7, 24, 9, 29, 1, , 
2019/7/8, 28, 7, 26, 2, , 
2019/7/9, 17, 4, 27, 2, , 
2019/7/10, 11, 7, 28, 2, , 
2019/7/11, 19, 9, 39, 3, , 
2019/7/12, 27, 11, 21, 4, , 
2019/7/13, 28, 10, 33, 2, , 
2019/7/14, 32, 14, 28, 1, , 
2019/7/15, 48, 11, 26, 2, , 
2019/7/16, 37, 8, 25, 2, , 
