,,,median,median,median,median,median,median
Specie,,,co,no2,o3,pm10,pm25,so2
Date,City,Country,,,,,,
1/1/2020,Mumbai,IN,11.2,21.3,8.7,111.0,179.0,5.0
1/1/2020,Muzaffarnagar,IN,18.4,16.2,5.2,256.0,296.0,6.6
1/1/2020,Mysore,IN,3.8,5.3,7.4,25.0,72.0,2.1
1/1/2020,Nagoya,JP,2.3,3.8,26.4,6.0,21.0,2.9
1/1/2020,Nagpur,IN,2.5,10.2,5.7,53.0,87.0,1.7
1/1/2020,Naha,JP,2.3,2.8,32.8,9.0,17.0,1.5
1/1/2020,Nakhon Pathom,TH,0.1,8.7,7.5,51.0,99.0,1.1
1/1/2020,Nanchang,CN,7.3,22.9,12.2,65.0,129.0,7.1
1/1/2020,Nanjing,CN,5.5,24.3,9.4,52.0,104.0,3.1
1/1/2020,Nanning,CN,9.1,13.8,25.6,57.0,122.0,5.6
1/1/2020,Naples,IT,7.3,13.0,10.8,69.0,163.0,1.8
1/1/2020,Nara-shi,JP,3.4,3.8,24.1,7.0,21.0,2.9
1/1/2020,Nashik,IN,10.1,1.9,22.1,93.0,143.0,1.5
1/1/2020,Nizhniy Novgorod,RU,1.8,5.9,15.5,3.0,13.0,0.3
1/1/2020,Niš,RS,4.4,7.1,10.7,48.0,137.0,5.2
1/1/2020,Novi Sad,RS,8.9,7.5,7.3,47.0,129.0,3.6
1/1/2020,Novosibirsk,RU,2.3,10.9,12.8,23.0,71.0,0.7
1/1/2020,Oaxaca,MX,19.5,8.0,10.8,41.0,55.0,38.2
1/1/2020,Okayama,JP,3.4,4.7,22.4,6.0,25.0,4.3
1/1/2020,Osaka,JP,3.4,5.6,24.8,7.0,25.0,2.9
1/1/2020,Oviedo,ES,0.1,8.3,11.0,27.0,68.0,2.6
1/1/2020,Pachuca de Soto,MX,13.3,4.0,13.5,63.0,75.0,2.8
1/1/2020,Paris,FR,0.1,16.9,2.2,22.0,70.0,0.4
1/1/2020,Perth,AU,3.0,3.4,7.0,18.0,34.0,2.9
1/1/2020,Phoenix,US,7.8,11.0,8.8,27.0,72.0,0.1
1/1/2020,Pohang,KR,4.5,8.4,24.1,19.0,50.0,4.3
1/1/2020,Potsdam,DE,0.1,10.9,17.8,21.0,62.0,1.8
1/1/2020,Pristina,XK,45.7,16.7,8.9,29.0,91.0,7.1
1/1/2020,Pécs,HU,4.7,6.9,12.8,20.0,60.0,1.6
1/1/2020,Płock,PL,2.5,2.4,21.6,17.0,58.0,0.8
1/1/2020,Qingdao,CN,0.1,18.3,14.7,55.0,109.0,4.6
1/1/2020,Qinhuangdao,CN,7.2,21.5,7.0,54.0,97.0,11.2
1/1/2020,Qiqihar,CN,5.5,7.4,21.2,30.0,76.0,7.6
1/1/2020,Rayong,TH,0.1,4.1,10.3,40.0,63.0,1.1
1/1/2020,Rijeka,HR,0.1,2.3,19.7,15.0,47.0,2.3
1/1/2020,Rome,IT,0.1,14.2,10.6,41.0,107.0,0.4
1/1/2020,Saitama,JP,2.3,3.8,28.1,4.0,17.0,1.5
1/1/2020,Samut Prakan,TH,0.1,7.0,12.3,50.0,80.0,2.2
1/1/2020,Santa Cruz de Tenerife,ES,0.1,6.9,28.5,38.0,55.0,2.1
1/1/2020,Santiago,CL,6.0,8.8,20.7,53.0,69.0,13.5
1/1/2020,Sapporo,JP,2.3,8.4,24.1,7.0,21.0,1.5
1/1/2020,Sarajevo,BA,2.7,9.2,4.9,126.0,252.0,47.7
1/1/2020,Sejong,KR,5.6,15.8,8.8,29.0,68.0,4.3
1/1/2020,Sendai,JP,0.1,2.8,28.9,3.0,13.0,4.3
1/1/2020,Seongnam-si,KR,5.6,25.1,6.4,30.0,70.0,4.3
1/1/2020,Seoul,KR,6.7,33.4,3.2,30.0,70.0,5.8
1/1/2020,Shanghai,CN,4.1,17.9,15.9,24.0,57.0,3.1
1/1/2020,Shantou,CN,6.7,9.2,29.7,28.0,65.0,4.1
1/1/2020,Shenyang,CN,11.8,27.5,5.7,73.0,158.0,15.8
1/1/2020,Shenzhen,CN,6.7,13.8,15.5,58.0,122.0,3.1
1/1/2020,Shijiazhuang,CN,11.6,26.6,4.1,91.0,155.0,13.7
1/1/2020,Shillong,IN,5.4,4.1,7.4,85.0,117.0,6.0
1/1/2020,Shizuoka,JP,2.3,2.8,19.2,5.0,17.0,1.5
1/1/2020,Skopje,MK,5.0,7.0,7.9,47.0,86.0,1.8
1/1/2020,Suncheon,KR,5.6,5.6,26.4,14.0,46.0,4.3
1/1/2020,Surrey,CA,0.1,2.2,13.2,7.0,10.0,0.2
1/1/2020,Suwon,KR,5.6,23.2,6.4,30.0,72.0,4.3
1/1/2020,Swansea,GB,5.7,8.7,11.6,21.0,61.0,1.1
1/1/2020,Sydney,AU,2.3,1.9,17.6,52.0,76.0,1.5
1/1/2020,Szeged,HU,2.9,5.9,7.4,25.0,78.0,3.7
1/1/2020,São José dos Campos,BR,5.5,3.2,19.9,23.0,34.0,0.6
1/1/2020,São Paulo,BR,3.7,7.4,20.4,20.0,55.0,1.1
1/1/2020,Taichung,TW,3.8,10.2,17.6,20.0,42.0,2.9
1/1/2020,Tainan,TW,3.9,11.2,17.6,37.0,63.0,3.3
1/1/2020,Taipei,TW,3.7,11.2,24.1,15.0,34.0,2.0
1/1/2020,Taitung City,TW,3.4,3.8,25.6,5.0,13.0,1.5
1/1/2020,Taiyuan,CN,14.8,30.2,4.1,89.0,162.0,30.4
1/1/2020,Takamatsu,JP,3.4,2.8,27.2,7.0,17.0,2.9
1/1/2020,Talca,CL,8.7,2.5,10.4,30.0,51.0,1.4
1/1/2020,Taoyuan City,TW,3.7,7.5,25.6,17.0,30.0,2.9
1/1/2020,Tbilisi,GE,4.6,11.4,9.4,18.0,50.0,1.6
1/1/2020,Tehran,IR,26.0,55.0,4.0,57.0,98.0,9.0
1/1/2020,Tel Aviv,IL,4.5,26.3,5.6,52.0,72.0,1.3
1/1/2020,Thiruvananthapuram,IN,12.2,9.9,14.4,55.0,100.0,5.2
1/1/2020,Thrissur,IN,10.3,4.8,13.8,89.0,39.0,5.4
1/1/2020,Tokyo,JP,4.5,4.7,28.1,5.0,17.0,1.5
1/1/2020,Trabzon,TR,4.4,16.2,13.5,34.0,60.0,2.2
1/1/2020,Tucson,US,3.0,10.4,11.4,12.0,38.0,0.3
1/1/2020,Ulan Bator,MN,0.3,12.6,1.7,80.0,195.0,21.7
1/1/2020,Ulsan,KR,4.5,10.2,22.4,16.0,42.0,4.3
1/1/2020,Utrecht,NL,2.8,13.6,3.9,43.0,101.0,0.1
1/1/2020,Utsunomiya,JP,3.4,5.6,19.2,6.0,21.0,1.5
