date, pm25, o3, no2, so2, co
2018/11/9, 22, 11, 1, , 1
2018/11/10, 23, 12, 1, , 1
2018/11/11, 23, 13, , , 1
2018/11/12, 25, 14, , , 1
2018/11/13, 24, 13, 1, , 1
2018/11/14, 26, 14, , , 1
2018/11/15, 18, 15, , , 1
2018/11/16, 26, 15, 2, , 1
2018/11/17, 29, 15, , , 1
2018/11/18, 14, 15, 1, , 1
2018/11/19, 19, 11, 3, , 2
2018/11/20, 19, 13, 1, , 1
2018/11/21, 13, 12, 1, , 1
2018/11/22, 15, 12, 1, , 1
2018/11/23, 22, 15, , , 1
2018/11/24, 19, 14, , , 1
2018/11/25, 22, 13, 2, , 1
2018/11/26, 27, 14, , , 1
2018/11/27, 10, 13, 1, , 1
2018/11/28, 9, 15, , , 1
2018/11/29, 10, 16, , , 1
2018/11/30, 19, 15, , , 1
2018/12/1, 32, 14, , , 1
2018/12/2, 12, 12, 2, , 1
2018/12/3, 15, 14, 2, , 1
2018/12/4, 13, 13, , , 1
2018/12/5, 13, 15, , , 1
2018/12/6, 14, 15, 1, , 1
2018/12/7, 22, 13, 3, , 2
2018/12/8, 29, 12, , , 1
2018/12/9, 21, 14, 1, , 1
2018/12/10, 15, 13, 2, , 1
2018/12/11, 23, 15, 1, , 1
2018/12/12, 20, 15, 1, , 1
2018/12/13, 25, 15, , , 1
2018/12/14, 23, 14, 1, , 1
2018/12/15, 26, 14, , , 1
2018/12/16, 13, 13, 2, , 2
2018/12/17, 26, 14, 2, , 1
2018/12/18, 19, 13, 1, , 1
2018/12/19, 9, 15, , , 1
2018/12/20, 26, 14, 1, , 1
2018/12/21, 21, 10, 4, , 2
2018/12/22, 36, 17, , , 1
2018/12/23, 18, 14, , , 1
2018/12/24, 22, 14, 1, , 1
2018/12/25, 20, 15, , , 1
2018/12/26, 17, 16, , , 1
2018/12/27, 17, 15, , , 1
2018/12/28, 21, 15, 1, , 1
2018/12/29, 23, 15, 2, , 1
2018/12/30, 10, 15, , , 1
2018/12/31, 18, , , , 
2018/7/2, 25, 11, , , 
2018/7/3, 21, 13, , , 1
2018/7/4, 23, 15, , , 1
2018/7/5, 37, 12, , , 1
2018/7/6, 32, 12, , , 
2018/7/7, 23, 12, 1, , 
2018/7/8, 20, 11, , , 
2018/7/9, 20, 13, , , 
2018/7/10, 24, 17, , , 
2018/7/11, 22, 14, , , 
2018/7/12, 28, 11, , , 
2018/7/13, 21, 8, , , 
2018/7/14, 16, 10, , , 
2018/7/15, 18, 8, , , 
2018/7/16, 19, 8, , , 
2018/7/17, 18, 17, , , 1
2018/7/18, 24, 10, , , 
2018/7/19, 8, 9, 1, 1, 
2018/7/20, 15, 10, 1, , 
2018/7/21, 25, 11, , , 
2018/7/22, 13, 10, , , 
2018/7/23, 9, 6, , , 
2018/7/24, 17, 6, , , 
2018/7/25, 19, 8, , , 
2018/7/26, 11, 9, , , 
2018/7/27, 27, 12, , , 1
2018/7/28, 17, 13, , , 1
2018/7/29, 17, 12, , , 
2018/7/30, 7, 10, , , 1
2018/7/31, 20, 10, 1, , 1
2018/8/1, 34, 11, 1, , 1
2018/8/2, 44, 12, , , 1
2018/8/3, 30, 13, , , 1
2018/8/4, 31, 12, , , 1
2018/8/5, 22, 7, , , 
2018/8/6, 8, 9, , , 
2018/8/7, 10, 13, , , 1
2018/8/8, 27, 15, , , 1
2018/8/9, 27, 11, , , 1
2018/8/10, 16, 13, , , 1
2018/8/11, 22, 9, 1, , 1
2018/8/12, 19, 8, 1, , 1
2018/8/13, 16, 9, 1, , 1
2018/8/14, 25, 10, , , 
2018/8/15, 16, 12, , , 1
2018/8/16, 11, 14, , , 1
2018/8/17, 14, 9, , , 1
2018/8/18, 14, 10, 1, , 1
2018/8/19, 17, 13, , , 1
2018/8/20, 17, 10, 1, , 1
2018/8/21, 22, 13, , , 1
2018/8/22, 18, 11, , , 1
2018/8/23, 11, 13, , , 1
2018/8/24, 14, 10, 1, , 1
2018/8/25, 33, 12, 1, , 1
2018/8/26, 50, 13, , , 1
2018/8/27, 36, 14, 1, , 1
2018/8/28, 27, 13, 1, , 1
2018/8/29, 41, 15, , , 1
2018/8/30, 29, 13, , , 1
2018/8/31, 25, 9, , , 1
2018/9/1, 15, 11, 1, , 1
2018/9/2, 26, 11, , , 1
2018/9/3, 15, 13, , , 1
2018/9/4, 13, 11, , , 1
2018/9/5, 15, 8, 1, , 1
2018/9/6, 19, 12, , , 1
2018/9/7, 18, 9, 1, , 1
2018/9/8, 19, 11, , , 1
2018/9/9, 15, 8, , , 
2018/9/10, 12, 10, 1, 1, 1
2018/9/11, 10, 10, 1, , 1
2018/9/12, 11, 13, , , 
2018/9/13, 10, 9, 2, 6, 1
2018/9/14, 21, 7, 1, , 1
2018/9/15, 30, 10, , , 1
2018/9/16, 26, 11, , , 1
2018/9/17, 18, 11, 1, , 1
2018/9/18, 16, 10, 1, , 
2018/9/19, 18, 10, , , 
2018/9/20, 13, 11, 1, 1, 1
